id,edad,ingreso_anual,sesiones_web_mes,gasto_promedio_mensual,antiguedad_dias,ratio_endeudamiento,distancia_sucursal_km,indice_digital,compra_premium,cluster_referencia
166,37.0,29277.16,6.0,2683.68,445.0,0.393,3.65,0.777,1,2
34,44.0,25590.65,7.0,2990.05,274.0,0.403,4.92,0.588,0,2
16,30.0,21788.63,2.0,2180.31,68.0,0.2,5.6,0.544,0,0
313,36.0,21227.06,0.0,2194.24,37.0,0.468,21.62,0.408,0,0
58,24.0,20267.91,1.0,1565.28,353.0,0.147,39.1,0.674,0,0
220,58.0,18359.73,8.0,2533.55,460.0,0.259,4.94,0.851,1,2
77,46.0,30834.04,5.0,2879.98,470.0,0.438,0.62,0.621,1,2
120,32.0,29878.8,5.0,2728.05,456.0,0.618,17.48,0.668,1,1
154,37.0,45429.58,4.0,2935.86,269.0,0.542,2.42,0.675,0,1
127,45.0,27388.13,12.0,3071.73,390.0,0.565,3.0,0.659,0,2
230,36.0,19747.19,6.0,2589.62,327.0,0.238,2.61,1.0,1,1
40,40.0,17016.3,5.0,1877.62,282.0,0.467,1.04,0.441,0,1
153,39.0,13541.64,2.0,1361.58,149.0,0.079,40.5,0.337,0,0
56,42.0,20681.58,12.0,2295.2,893.0,0.664,3.29,0.848,1,2
138,45.0,48016.62,4.0,3453.66,321.0,0.619,3.25,0.706,0,2
203,22.0,23739.69,5.0,1669.21,,0.64,4.99,0.588,0,0
1,48.0,25164.36,2.0,1826.48,180.0,0.434,16.49,0.787,0,1
228,30.0,69884.0,7.0,3747.12,350.0,0.518,3.86,0.637,1,1
333,46.0,18019.64,7.0,1981.97,80.0,0.66,17.47,0.567,0,0
102,32.0,28616.56,7.0,2240.9,89.0,1.01,10.11,0.907,0,1
10,40.0,60291.97,9.0,3338.45,834.0,0.784,8.52,0.907,1,2
326,35.0,81668.46,5.0,3936.71,1053.0,0.367,8.8,0.629,1,2
73,28.0,21656.58,5.0,1650.6,248.0,0.046,23.75,0.509,0,0
256,33.0,30212.81,5.0,2880.84,250.0,0.496,5.16,0.75,0,1
251,28.0,35596.54,8.0,2511.84,157.0,0.352,0.6,0.491,1,0
197,65.0,56553.65,7.0,3912.7,999.0,0.442,1.58,0.808,1,2
238,34.0,37600.66,4.0,2238.07,169.0,0.336,22.89,0.658,0,0
233,32.0,27864.06,3.0,2146.67,506.0,0.646,10.31,0.6,0,1
342,46.0,27681.78,7.0,2148.69,224.0,0.431,3.28,0.366,0,1
365,23.0,27776.04,8.0,2086.49,145.0,0.432,24.26,0.425,0,1
26,40.0,71453.12,9.0,4143.58,1075.0,0.297,8.67,0.831,1,2
109,21.0,58129.396174741574,5.0,1877.18,16.0,0.077,0.68,0.743,1,0
43,20.0,12708.71,4.0,1209.66,70.0,0.279,20.83,0.399,0,0
356,37.0,37736.36,6.0,2816.02,359.0,0.284,0.41,0.664,0,1
156,18.0,29931.76,6.0,2462.85,200.0,0.699,2.64,0.91,0,0
115,23.0,35312.53,4.0,3042.25,86.0,0.548,20.77,0.621,0,1
