Invoice_ID,Fecha,Cliente,Producto,Cantidad,Precio_Unitario,Total,País,Forma_Pago
1001,2024-01-01,Cliente_0,Producto_0,4,91.5,,Argentina,Efectivo
1002,2024-01-02,Cliente_1,Producto_1,17,124.98,,ARG,efectivo
1003,2024-01-03,Cliente_2,Producto_2,12,26.0,,argentina,Tarjeta
1004,2024-01-04,Cliente_3,Producto_3,8,58.66,,Brasil,Débito
1005,2024-01-05,Cliente_4,Producto_4,5,27.34,,Chile,cash
1006,2024-01-06,Cliente_5,Producto_0,18,,,Argentina,Efectivo
1007,2024-01-07,Cliente_6,Producto_1,4,63.77,,ARG,efectivo
1008,2024-01-08,Cliente_7,Producto_2,16,31.19,,argentina,Tarjeta
1009,2024-01-09,Cliente_8,Producto_3,8,85.16,,Brasil,Débito
1010,2024-01-10,Cliente_9,Producto_4,8,4.7,,Chile,cash
1011,2024-01-11,Cliente_0,Producto_0,18,126.34,,Argentina,Efectivo
1012,2024-01-12,Cliente_1,Producto_1,1,67.46,,ARG,efectivo
1013,2024-01-13,,Producto_2,5,59.27,,argentina,Tarjeta
1014,2024-01-14,Cliente_3,Producto_3,0,139.0,,Brasil,Débito
1015,2024-01-15,Cliente_4,Producto_4,19,109.09,,Chile,cash
1016,2024-01-16,Cliente_5,Producto_0,18,48.98,,Argentina,Efectivo
1017,2024-01-17,Cliente_6,Producto_1,-1,85.57,,ARG,efectivo
1018,2024-01-18,Cliente_7,Producto_2,9,78.13,,argentina,Tarjeta
1019,2024-01-19,Cliente_8,Producto_3,3,144.18,,Brasil,Débito
1020,2024-01-20,Cliente_9,Producto_4,-1,126.68,,Chile,cash
1021,2024-01-21,Cliente_0,Producto_0,18,112.1,,Argentina,Efectivo
1022,2024-01-22,Cliente_1,Producto_1,-2,80.95,,ARG,efectivo
1023,2024-01-23,Cliente_2,Producto_2,9,88.01,,argentina,Tarjeta
1024,2024-01-24,Cliente_3,Producto_3,19,144.79,,Brasil,Débito
1025,2024-01-25,Cliente_4,Producto_4,9,91.06,,Chile,cash
1026,2024-01-26,Cliente_5,Producto_0,14,41.4,,Argentina,Efectivo
1027,2024-01-27,Cliente_6,Producto_1,7,44.44,,ARG,efectivo
1028,2024-01-28,Cliente_7,Producto_2,13,24.79,,argentina,Tarjeta
1029,2024-01-29,Cliente_8,Producto_3,12,2.35,,Brasil,Débito
1030,2024-01-30,Cliente_9,Producto_4,12,63.51,,Chile,cash
1031,2024-01-31,Cliente_0,Producto_0,16,59.23,,Argentina,Efectivo
1032,2024-02-01,Cliente_1,Producto_1,9,44.02,,ARG,efectivo
1033,2024-02-02,Cliente_2,Producto_2,17,2.11,,argentina,Tarjeta
1034,2024-02-03,Cliente_3,Producto_3,0,29.83,,Brasil,Débito
1035,2024-02-04,Cliente_4,Producto_4,2,106.7,,Chile,cash
1036,2024-02-05,Cliente_5,Producto_0,16,118.53,,Argentina,Efectivo
1037,2024-02-06,Cliente_6,Producto_1,4,90.89,,ARG,efectivo
1038,2024-02-07,Cliente_7,Producto_2,18,138.95,,argentina,Tarjeta
1039,2024-02-08,Cliente_8,Producto_3,6,97.66,,Brasil,Débito
1040,2024-02-09,Cliente_9,Producto_4,4,137.24,,Chile,cash
1041,2024-02-10,Cliente_0,Producto_0,15,127.51,,Argentina,Efectivo
1042,2024-02-11,Cliente_1,Producto_1,1,67.42,,ARG,efectivo
1043,2024-02-12,Cliente_2,Producto_2,11,14.31,,argentina,Tarjeta
1044,2024-02-13,Cliente_3,Producto_3,15,55.62,,Brasil,Débito
1045,2024-02-14,Cliente_4,Producto_4,6,100.33,,Chile,cash
1046,2024-02-15,Cliente_5,Producto_0,18,99.89,,Argentina,Efectivo
1047,2024-02-16,Cliente_6,Producto_1,-1,88.69,,ARG,efectivo
1048,2024-02-17,Cliente_7,Producto_2,17,41.21,,argentina,Tarjeta
1049,2024-02-18,Cliente_8,Producto_3,12,84.19,,Brasil,Débito
1050,2024-02-19,Cliente_9,Producto_4,4,57.44,,Chile,cash
1011,2024-01-11,Cliente_0,Producto_0,18,126.34,,Argentina,Efectivo
